iteration1,iteration2,iteration3
Relevent,Relevent,Relevent
Relevent,Relevent,Non-relevant
Relevent,Relevent,Non-relevant
Non-relevant,Relevent,Relevent
Relevent,Non-relevant,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Non-relevant
Relevent,Non-relevant,Relevent
Non-relevant,Non-relevant,Non-relevant
Non-relevant,Non-relevant,Non-relevant
Non-relevant,Relevent,Non-relevant
Non-relevant,Relevent,Non-relevant
Non-relevant,Relevent,Non-relevant
Non-relevant,Relevent,Relevent
Non-relevant,Relevent,Non-relevant
Relevent,Non-relevant,Non-relevant
Relevent,Relevent,Non-relevant
Non-relevant,Non-relevant,Non-relevant
Non-relevant,Non-relevant,Non-relevant
Relevent,Non-relevant,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Non-relevant
Relevent,Relevent,Non-relevant
Non-relevant,Non-relevant,Non-relevant
Non-relevant,Non-relevant,Non-relevant
Non-relevant,Non-relevant,Relevent
Non-relevant,Non-relevant,Relevent
Non-relevant,Non-relevant,Non-relevant
Non-relevant,Non-relevant,Non-relevant
Relevent,Non-relevant,Non-relevant
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Non-relevant,Relevent,Relevent
Non-relevant,Relevent,Relevent
Non-relevant,Non-relevant,Non-relevant
Non-relevant,Relevent,Relevent
Non-relevant,Non-relevant,Non-relevant
Non-relevant,Relevent,Relevent
Non-relevant,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Non-relevant,Non-relevant,Non-relevant
Relevent,Relevent,Relevent
Relevent,Relevent,Non-relevant
Non-relevant,Non-relevant,Non-relevant
Non-relevant,Non-relevant,Non-relevant
Non-relevant,Non-relevant,Non-relevant
Relevent,Relevent,Non-relevant
Non-relevant,Non-relevant,Non-relevant
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Non-relevant,Non-relevant,Relevent
Relevent,Relevent,Non-relevant
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Non-relevant,Non-relevant,Relevent
Non-relevant,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Non-relevant
Relevent,Non-relevant,Non-relevant
Non-relevant,Relevent,Relevent
Relevent,Relevent,Relevent
Non-relevant,Relevent,Relevent
Relevent,Relevent,Relevent
Non-relevant,Relevent,Relevent
Non-relevant,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Relevent,Relevent,Relevent
Non-relevant,Relevent,Relevent
Relevent,Non-relevant,Relevent
Relevent,Relevent,Relevent
Non-relevant,Relevent,Non-relevant
Relevent,Relevent,Relevent
Non-relevant,Non-relevant,Non-relevant
Non-relevant,Non-relevant,Non-relevant
Relevent,Relevent,Relevent
Non-relevant,Relevent,Non-relevant
Relevent,Relevent,Relevent
Non-relevant,Non-relevant,Non-relevant
